"analysis_date","data_identifier","replicate_no","integration_time_s","dilution","RSU_area_1s","long_term_name"
"2022-08-25","BLK20220825a",1,5,1,2747.61951,"2022_08_25_BLK20220825a"
"2022-08-25","BLK20220825b",1,5,1,2747.61951,"2022_08_25_BLK20220825b"
"2022-08-25","BLK20220825c",1,5,1,2747.61951,"2022_08_25_BLK20220825c"
"2022-08-25","BLK20220825d",1,5,1,2747.61951,"2022_08_25_BLK20220825d"
"2022-08-29","BLK202208291",1,5,1,2710.96074,"2022_08_29_BLK202208291"
"2022-08-29","BLK202208292",1,5,1,2710.96074,"2022_08_29_BLK202208292"
"2022-08-29","BLK202208293",1,5,1,2710.96074,"2022_08_29_BLK202208293"
"2022-09-26","BLK2209261",1,5,1,2680.20874,"2022_09_26_BLK2209261"
"2022-09-26","BLK2209262",1,5,1,2680.20874,"2022_09_26_BLK2209262"
"2022-09-26","BLK2209263",1,5,1,2680.20874,"2022_09_26_BLK2209263"
"2022-09-26","BLK2209264",1,5,1,2680.20874,"2022_09_26_BLK2209264"
"2022-10-01","BLK2210011",1,5,1,2676.3639,"2022_10_01_BLK2210011"
"2022-10-01","BLK2210012",1,5,1,2676.3639,"2022_10_01_BLK2210012"
"2022-10-01","BLK2210013",1,5,1,2676.3639,"2022_10_01_BLK2210013"
"2022-10-01","BLK2210014",1,5,1,2676.3639,"2022_10_01_BLK2210014"
"2022-10-06","BLK2210061",1,5,1,2670.14385,"2022_10_06_BLK2210061"
"2022-10-06","BLK2210062",1,5,1,2670.14385,"2022_10_06_BLK2210062"
"2022-10-08","BLK2210081",1,5,1,2656.71902,"2022_10_08_BLK2210081"
"2022-10-08","BLK2210082",1,5,1,2656.71902,"2022_10_08_BLK2210082"
"2022-10-26","BLK2210261",1,5,1,2497.0961,"2022_10_26_BLK2210261"
"2022-10-26","BLK2210262",1,5,1,2497.0961,"2022_10_26_BLK2210262"
"2022-11-04","BLK2211041",1,5,1,1502.57538,"2022_11_04_BLK2211041"
"2022-11-04","BLK2211042",1,5,1,1502.57538,"2022_11_04_BLK2211042"
"2022-11-04","BLK2211043",1,5,1,1502.57538,"2022_11_04_BLK2211043"
"2022-11-05","BLK2211051",1,5,1,1518.87885,"2022_11_05_BLK2211051"
"2022-11-05","BLK2211052",1,5,1,1518.87885,"2022_11_05_BLK2211052"
"2022-11-05","BLK2211053",1,5,1,1518.87885,"2022_11_05_BLK2211053"
"2022-11-07","BLK2211071",1,5,1,1609.87435,"2022_11_07_BLK2211071"
"2022-11-07","BLK2211072",1,5,1,1609.87435,"2022_11_07_BLK2211072"
"2022-11-07","BLK2211073",1,5,1,1609.87435,"2022_11_07_BLK2211073"
"2022-11-08","BLK2211081",1,5,1,1474.8708,"2022_11_08_BLK2211081"
"2022-11-08","BLK2211082",1,5,1,1474.8708,"2022_11_08_BLK2211082"
"2022-11-10","BLK22110101",1,5,1,1466.57186,"2022_11_10_BLK22110101"
"2022-11-10","BLK2211102",1,5,1,1466.57186,"2022_11_10_BLK2211102"
"2022-11-10","BLK22110101",1,5,1,1467.69901,"2022_11_10b_BLK22110101"
"2022-11-10","BLK22110102",1,5,1,1467.69901,"2022_11_10b_BLK22110102"
"2022-11-10","BLK22110103",1,5,1,1467.69901,"2022_11_10b_BLK22110103"
"2022-11-11","BLK2211111",1,5,1,1451.43453,"2022_11_11_BLK2211111"
"2022-11-11","BLK2211112",1,5,1,1451.43453,"2022_11_11_BLK2211112"
"2022-11-11","BLK2211113",1,5,1,1451.43453,"2022_11_11_BLK2211113"
"2022-11-11","BLK2211111",1,5,1,1439.04874,"2022_11_11b_BLK2211111"
"2022-11-11","BLK2211112",1,5,1,1439.04874,"2022_11_11b_BLK2211112"
"2022-11-11","BLK2211113",1,5,1,1439.04874,"2022_11_11b_BLK2211113"
"2022-11-12","BLK2211121",1,5,1,1489.58776,"2022_11_12_BLK2211121"
"2022-11-12","BLK2211122",1,5,1,1489.58776,"2022_11_12_BLK2211122"
"2022-11-12","BLK2211123",1,5,1,1489.58776,"2022_11_12_BLK2211123"
"2022-11-14","BLK2211141",1,5,1,1460.23798,"2022_11_14_BLK2211141"
"2022-11-14","BLK2211142",1,5,1,1460.23798,"2022_11_14_BLK2211142"
"2023-01-02","BLK2301021",1,5,1,1539.50963,"2023_01_02_BLK2301021"
"2023-01-02","BLK2301022",1,5,1,1539.50963,"2023_01_02_BLK2301022"
"2023-01-02","BLK2301023",1,5,1,1539.50963,"2023_01_02_BLK2301023"
"2023-01-06","BLK2301061",1,5,1,1499.25617,"2023_01_06_BLK2301061"
"2023-01-06","BLK2301062",1,5,1,1499.25617,"2023_01_06_BLK2301062"
"2023-01-09","BLK2301091",1,5,1,1505.24547,"2023_01_09_BLK2301091"
"2023-01-09","BLK2301092",1,5,1,1505.24547,"2023_01_09_BLK2301092"
"2023-02-16","BLK230216",1,5,1,1413.85833,"2023_02_16_BLK230216"
"2023-02-16","BLK230216",2,5,1,1413.85833,"2023_02_16_BLK230216"
"2023-02-23","BLK2302231",1,5,1,1674.38724,"2023_02_23_BLK2302231"
"2023-02-23","BLK2302232",1,5,1,1674.38724,"2023_02_23_BLK2302232"
"2023-02-23","BLK2302233",1,5,1,1674.38724,"2023_02_23_BLK2302233"
"2023-02-28","BLK2302281",1,5,1,1549.21074,"2023_02_28_BLK2302281"
"2023-02-28","BLK2302282",1,5,1,1549.21074,"2023_02_28_BLK2302282"
"2023-03-03","BLK2303031",1,5,1,1419.21177,"2023_03_03_BLK2303031"
"2023-03-03","BLK2303032",1,5,1,1419.21177,"2023_03_03_BLK2303032"
"2023-03-08","BLK2303081",1,5,1,1400.61368,"2023_03_08_BLK2303081"
"2023-03-08","BLK2303082",1,5,1,1400.61368,"2023_03_08_BLK2303082"
"2023-03-14","BLK2303141",1,5,1,1408.43494,"2023_03_14_BLK2303141"
"2023-03-14","BLK2303142",1,5,1,1408.43494,"2023_03_14_BLK2303142"
"2023-03-15","BLK2303151",1,5,1,1560.56389,"2023_03_15_BLK2303151"
"2023-03-15","BLK2303152",1,5,1,1560.56389,"2023_03_15_BLK2303152"
"2023-03-15","BLK2303153",1,5,1,1560.56389,"2023_03_15_BLK2303153"
"2023-03-16","BLK2303161",1,5,1,1392.04513,"2023_03_16_BLK2303161"
"2023-03-16","BLK2303162",1,5,1,1392.04513,"2023_03_16_BLK2303162"
"2023-03-16","BLK2303163",1,5,1,1392.04513,"2023_03_16_BLK2303163"
"2023-03-16","BLK2303161",1,5,1,1386.17864,"2023_03_16b_BLK2303161"
"2023-03-16","BLK2303162",1,5,1,1386.17864,"2023_03_16b_BLK2303162"
"2023-03-17","BLK2303171",1,5,1,1683.02838,"2023_03_17_BLK2303171"
"2023-03-17","BLK2303173",1,5,1,1683.02838,"2023_03_17_BLK2303173"
"2023-03-17","BLK2303171",1,5,1,1677.54753,"2023_03_17b_BLK2303171"
"2023-03-17","BLK2303172",1,5,1,1677.54753,"2023_03_17b_BLK2303172"
"2023-03-17","BLK2303173",1,5,1,1677.54753,"2023_03_17b_BLK2303173"
"2023-03-20","BLK2303201",1,5,1,1539.00247,"2023_03_20_BLK2303201"
"2023-03-20","BLK2303203",1,5,1,1539.00247,"2023_03_20_BLK2303203"
"2023-03-20","BLK2303201",1,5,1,1540.96053,"2023_03_20b_BLK2303201"
"2023-03-20","BLK2303202",1,5,1,1540.96053,"2023_03_20b_BLK2303202"
"2023-03-20","BLK2303203",1,5,1,1540.96053,"2023_03_20b_BLK2303203"
"2023-03-21","BLK2303211",1,5,1,1442.73408,"2023_03_21_BLK2303211"
"2023-03-21","BLK2303212",1,5,1,1442.73408,"2023_03_21_BLK2303212"
"2023-03-21","BLK2303213",1,5,1,1442.73408,"2023_03_21_BLK2303213"
"2023-03-24","BLK2303242",1,5,1,1408.73271,"2023_03_24b_BLK2303242"
"2023-03-24","BLK2303243",1,5,1,1408.73271,"2023_03_24b_BLK2303243"
"2023-06-12","BLK2306121",1,5,1,1482.32302,"2023_06_12_BLK2306121"
"2023-06-12","BLK2306122",1,5,1,1482.32302,"2023_06_12_BLK2306122"
"2023-06-12","BLK2306123",1,5,1,1482.32302,"2023_06_12_BLK2306123"
"2023-06-12","BLK2306121",1,5,1,1471.31722,"2023_06_12b_BLK2306121"
"2023-06-13","BLK2306131",1,5,1,1440.23393,"2023_06_13_BLK2306131"
"2023-06-13","BLK2306132",1,5,1,1440.23393,"2023_06_13_BLK2306132"
"2023-06-13","BLK2306133",1,5,1,1440.23393,"2023_06_13_BLK2306133"
"2023-06-13","BLK2306131",1,5,1,1378.91317,"2023_06_13b_BLK2306131"
"2023-06-14","BLK2306141",1,5,1,1419.83331,"2023_06_14_BLK2306141"
"2023-06-14","BLK2306142",1,5,1,1419.83331,"2023_06_14_BLK2306142"
"2023-06-14","BLK2306143",1,5,1,1419.83331,"2023_06_14_BLK2306143"
"2023-06-14","BLK2306141",1,5,1,1422.90775,"2023_06_14b_BLK2306141"
"2023-06-14","BLK2306142",1,5,1,1422.90775,"2023_06_14b_BLK2306142"
"2023-06-14","BLK2306143",1,5,1,1422.90775,"2023_06_14b_BLK2306143"
NA,"BLK2306151",1,5,1,1413.68568,"2023_06_15_BLK2306151"
NA,"BLK2306152",1,5,1,1413.68568,"2023_06_15_BLK2306152"
NA,"BLK2306153",1,5,1,1413.68568,"2023_06_15_BLK2306153"
"2023-06-15","BLK2306151",1,5,1,1383.19564,"2023_06_15b_BLK2306151"
"2023-06-15","BLK2306152",1,5,1,1383.19564,"2023_06_15b_BLK2306152"
"2023-06-15","BLK2306153",1,5,1,1383.19564,"2023_06_15b_BLK2306153"
"2023-06-17","BLK",1,5,1,1638.43664,"2023_06_17_BLK"
"2023-06-17","BLK",2,5,1,1638.43664,"2023_06_17_BLK"
"2023-06-17","BLK",3,5,1,1638.43664,"2023_06_17_BLK"
"2023-06-18","BLK2306181",1,5,1,1407.40442,"2023_06_18_BLK2306181"
"2023-06-21","BLK",1,5,1,1427.56427,"2023_06_21_BLK"
"2023-06-21","BLK",2,5,1,1427.56427,"2023_06_21_BLK"
"2023-06-21","BLK",3,5,1,1427.56427,"2023_06_21_BLK"
"2023-07-14","BLK2307141",1,5,1,1399.66793,"2023_07_14_BLK2307141"
"2023-07-14","BLK2307142",1,5,1,1399.66793,"2023_07_14_BLK2307142"
"2023-07-14","BLK2307143",1,5,1,1399.66793,"2023_07_14_BLK2307143"
"2023-09-12","BLK2309121",1,5,1,1501.92319,"2023_09_12_BLK2309121"
"2023-09-12","BLK2309122",1,5,1,1501.92319,"2023_09_12_BLK2309122"
"2023-09-12","BLK2309123",1,5,1,1501.92319,"2023_09_12_BLK2309123"
"2023-09-13","BLK2309131",1,5,1,1466.40498,"2023_09_13_BLK2309131"
"2023-09-13","BLK2309132",1,5,1,1466.40498,"2023_09_13_BLK2309132"
"2023-09-13","BLK202309131",1,5,1,1505.8354,"2023_09_13b_BLK202309131"
"2023-09-13","BLK202309132",1,5,1,1505.8354,"2023_09_13b_BLK202309132"
"2023-09-13","BLK202309133",1,5,1,1505.8354,"2023_09_13b_BLK202309133"
"2023-09-14","BLK2309141",1,5,1,1426.66072,"2023_09_14_BLK2309141"
"2023-09-14","BLK2309142",1,5,1,1426.66072,"2023_09_14_BLK2309142"
NA,"BLK2309151",1,5,1,1443.77233,"2023_09_15_BLK2309151"
NA,"BLK2309152",1,5,1,1443.77233,"2023_09_15_BLK2309152"
NA,"BLK2309153",1,5,1,1443.77233,"2023_09_15_BLK2309153"
"2023-09-15","BLK230915b1",1,5,1,1426.47116,"2023_09_15b_BLK230915b1"
"2023-09-15","BLK230915b2",1,5,1,1426.47116,"2023_09_15b_BLK230915b2"
"2023-09-15","BLK230915b3",1,5,1,1426.47116,"2023_09_15b_BLK230915b3"
"2023-09-17","BLK2309171",1,5,1,1405.9593,"2023_09_17_BLK2309171"
"2023-09-17","BLK2309172",1,5,1,1405.9593,"2023_09_17_BLK2309172"
"2023-09-17","BLK2309173",1,5,1,1405.9593,"2023_09_17_BLK2309173"
"2023-09-20","BLK2309201",1,5,1,2091.15216,"2023_09_20_BLK2309201"
"2023-09-20","BLK2309202",1,5,1,2091.15216,"2023_09_20_BLK2309202"
"2023-09-27","BLK2309271",1,5,1,1971.46333,"2023_09_27_BLK2309271"
"2023-09-27","BLK2309272",1,5,1,1971.46333,"2023_09_27_BLK2309272"
"2023-09-27","BLK2309273",1,5,1,1971.46333,"2023_09_27_BLK2309273"
"2023-09-28","BLK2309281",1,5,1,1930.44467,"2023_09_28_BLK2309281"
"2023-09-28","BLK2309282",1,5,1,1930.44467,"2023_09_28_BLK2309282"
"2023-09-28","BLK2309283",1,5,1,1930.44467,"2023_09_28_BLK2309283"
"2023-09-28","BLK2309281",1,5,1,1899.13631,"2023_09_28b_BLK2309281"
"2023-09-28","BLK2309282",1,5,1,1899.13631,"2023_09_28b_BLK2309282"
"2023-09-28","BLK2309283",1,5,1,1899.13631,"2023_09_28b_BLK2309283"
"2023-09-29","BLK2309291",1,5,1,2094.34695,"2023_09_29_BLK2309291"
"2023-09-29","BLK2309292",1,5,1,2094.34695,"2023_09_29_BLK2309292"
"2023-09-29","BLK2309293",1,5,1,2094.34695,"2023_09_29_BLK2309293"
"2023-09-29","BLK2309291",1,5,1,2117.4524,"2023_09_29b_BLK2309291"
"2023-09-29","BLK2309292",1,5,1,2117.4524,"2023_09_29b_BLK2309292"
"2023-09-29","BLK2309293",1,5,1,2117.4524,"2023_09_29b_BLK2309293"
"2023-09-30","BLK2309301",1,5,1,2165.54943,"2023_09_30_BLK2309301"
"2023-09-30","BLK202309302",1,5,1,2165.54943,"2023_09_30_BLK202309302"
"2023-10-01","BLK2310011",1,5,1,2273.78138,"2023_10_01_BLK2310011"
"2023-10-01","BLK2310012",1,5,1,2273.78138,"2023_10_01_BLK2310012"
"2023-10-01","BLK2310013",1,5,1,2273.78138,"2023_10_01_BLK2310013"
"2023-10-02","BLK2310021",1,5,1,1957.60283,"2023_10_02_BLK2310021"
"2023-10-02","BLK2310022",1,5,1,1957.60283,"2023_10_02_BLK2310022"
"2023-10-02","BLK2310023",1,5,1,1957.60283,"2023_10_02_BLK2310023"
"2023-12-13","BLK2312131",1,5,1,1785.6007,"2023_12_13_BLK2312131"
"2023-12-13","BLK2312132",1,5,1,1785.6007,"2023_12_13_BLK2312132"
"2023-12-13","BLK231213",1,5,1,1785.6007,"2023_12_13_BLK231213"
"2023-12-15","BLK2312151",1,5,1,1917.03375,"2023_12_15_BLK2312151"
"2023-12-15","BLK2312152",1,5,1,1917.03375,"2023_12_15_BLK2312152"
"2023-12-15","BLK2312153",1,5,1,1917.03375,"2023_12_15_BLK2312153"
"2023-12-15","BLK2312151",1,5,1,1878.86902,"2023_12_15b_BLK2312151"
"2023-12-15","BLK2312152",1,5,1,1878.86902,"2023_12_15b_BLK2312152"
"2023-12-15","BLK2312153",1,5,1,1878.86902,"2023_12_15b_BLK2312153"
"2023-12-18","BLK2312181",1,5,1,1738.10131,"2023_12_18_BLK2312181"
"2023-12-18","BLK2312182",1,5,1,1738.10131,"2023_12_18_BLK2312182"
"2023-12-18","BLK2312183",1,5,1,1738.10131,"2023_12_18_BLK2312183"
"2023-12-19","BLK2312191",1,5,1,19234.33103,"2023_12_19_BLK2312191"
"2023-12-19","BLK2312191",1,5,1,1915.76051,"2023_12_19b_BLK2312191"
"2023-12-19","BLK2312192",1,5,1,1915.76051,"2023_12_19b_BLK2312192"
"2023-12-19","BLK2312193",1,5,1,1915.76051,"2023_12_19b_BLK2312193"
"2024-01-22","BLK2401221",1,5,1,1882.86485,"2024_01_22_BLK2401221"
"2024-01-22","BLK2401222",1,5,1,1882.86485,"2024_01_22_BLK2401222"
"2024-01-22","BLK2401223",1,5,1,1882.86485,"2024_01_22_BLK2401223"
NA,"BLK2405071",1,5,1,2120.99553,"2024_05_07_BLK2405071"
NA,"BLK2405072",1,5,1,2120.99553,"2024_05_07_BLK2405072"
NA,"BLK2405073",1,5,1,2120.99553,"2024_05_07_BLK2405073"
"2024-05-08","BLK2405081",1,5,1,1884.03738,"2024_05_08_BLK2405081"
"2024-05-08","BLK2405082",1,5,1,1884.03738,"2024_05_08_BLK2405082"
"2024-05-08","BLK2405083",1,5,1,1884.03738,"2024_05_08_BLK2405083"
"2024-05-09","BLK2405091",1,5,1,1897.02096,"2024_05_09_BLK2405091"
"2024-05-09","BLK2405092",1,5,1,1897.02096,"2024_05_09_BLK2405092"
"2024-05-09","BLK2405093",1,5,1,1897.02096,"2024_05_09_BLK2405093"
NA,"BLK2405101",1,5,1,2045.11617,"2024_05_10_BLK2405101"
NA,"BLK2405102",1,5,1,2045.11617,"2024_05_10_BLK2405102"
NA,"BLK2405103",1,5,1,2045.11617,"2024_05_10_BLK2405103"
"2024-05-13","BLK2405131",1,5,1,1935.55592,"2024_05_13_BLK2405131"
"2024-05-13","BLK2405132",1,5,1,1935.55592,"2024_05_13_BLK2405132"
"2024-05-13","BLK2405133",1,5,1,1935.55592,"2024_05_13_BLK2405133"
"2024-05-14","BLK2405141",1,5,1,1963.07841,"2024_05_14_BLK2405141"
"2024-05-14","BLK2405142",1,5,1,1963.07841,"2024_05_14_BLK2405142"
"2024-05-14","BLK2405143",1,5,1,1963.07841,"2024_05_14_BLK2405143"
"2024-05-17","BLK2405171",1,5,1,1818.38263,"2024_05_17b_BLK2405171"
"2024-05-17","BLK2405172",1,5,1,1818.38263,"2024_05_17b_BLK2405172"
"2024-05-17","BLK2405173",1,5,1,1818.38263,"2024_05_17b_BLK2405173"
